product_id,product_position,promotion,product_category,seasonal,sales_volume,brand,name,price,terms,section,season,material,origin
185102,Aisle,Yes,clothing,Yes,1243,Zara,BASIC PUFFER JACKET,78.99,jackets,MAN,Winter,Polyester,Brazil
188771,Aisle,Yes,clothing,No,1429,Zara,BASIC PUFFER JACKET,14.99,jackets,MAN,Autumn,Cotton,Turkey
180176,End-cap,Yes,clothing,Yes,1168,Zara,BASIC PUFFER JACKET,71.95,jackets,WOMAN,Autumn,Polyester,Morocco
112917,Aisle,Yes,clothing,No,1348,Zara,BASIC PUFFER JACKET,30.99,jackets,MAN,Spring,Polyester,China
192936,End-cap,Yes,clothing,Yes,1602,Zara,BASIC PUFFER JACKET,22.99,jackets,WOMAN,Winter,Wool Blend,China
117590,End-cap,Yes,clothing,Yes,1282,Zara,BASIC PUFFER JACKET,25.95,jackets,WOMAN,Autumn,Cotton,Turkey
189118,Front of Store,No,clothing,No,688,Zara,BASIC PUFFER JACKET,87.99,jackets,MAN,Winter,Acrylic,China
182157,Aisle,Yes,clothing,Yes,1711,Zara,BASIC PUFFER JACKET,24,jackets,WOMAN,Summer,Cotton,Portugal
141861,Aisle,No,clothing,Yes,857,Zara,BASIC PUFFER JACKET,32.95,jackets,WOMAN,Winter,Wool,India
137121,Aisle,No,clothing,No,769,Zara,BASIC PUFFER JACKET,39.95,jackets,MAN,Autumn,Wool Blend,China
113143,Aisle,Yes,clothing,Yes,1696,Zara,BASIC PUFFER JACKET,22.99,jackets,WOMAN,Winter,Wool,China
140028,Aisle,Yes,clothing,No,1538,Zara,BASIC PUFFER JACKET,15.95,jackets,WOMAN,Autumn,Polyester,Portugal
134693,Aisle,No,clothing,Yes,822,Zara,BASIC PUFFER JACKET,49.99,jackets,MAN,Autumn,Cotton,Portugal
151396,Front of Store,No,clothing,No,840,Zara,BASIC PUFFER JACKET,69.99,jackets,WOMAN,Autumn,Viscose,Bangladesh
132889,Aisle,Yes,clothing,Yes,1569,Zara,BASIC PUFFER JACKET,28.99,jackets,WOMAN,Spring,Polyester,China
152174,End-cap,No,clothing,Yes,952,Zara,BASIC PUFFER JACKET,29.99,jackets,WOMAN,Spring,Wool Blend,India
129906,Aisle,No,clothing,Yes,915,Zara,BASIC PUFFER JACKET,29.99,jackets,WOMAN,Autumn,Cotton,Portugal
195879,Front of Store,Yes,clothing,Yes,1522,Zara,BASIC PUFFER JACKET,25.99,jackets,WOMAN,Autumn,Cotton,India
155050,Aisle,Yes,clothing,Yes,1305,Zara,BASIC PUFFER JACKET,77.99,jackets,MAN,Winter,Polyester,Morocco
194410,End-cap,No,clothing,No,840,Zara,BASIC PUFFER JACKET,49.99,jackets,WOMAN,Spring,Linen,Bangladesh
141904,End-cap,No,clothing,No,997,Zara,BASIC PUFFER JACKET,25.95,jackets,WOMAN,Spring,Denim,China
124981,Front of Store,No,clothing,Yes,857,Zara,BASIC PUFFER JACKET,79.99,jackets,WOMAN,Autumn,Denim,Bangladesh
161909,Aisle,No,clothing,No,982,Zara,BASIC PUFFER JACKET,39.99,jackets,WOMAN,Spring,Wool Blend,Vietnam
129152,End-cap,No,clothing,Yes,970,Zara,BASIC PUFFER JACKET,19.95,jackets,MAN,Autumn,Wool Blend,Spain
183243,Front of Store,Yes,clothing,No,1453,Zara,BASIC PUFFER JACKET,39.99,jackets,WOMAN,Autumn,Polyester,Brazil
198248,Front of Store,No,clothing,No,870,Zara,BASIC PUFFER JACKET,22.99,jackets,MAN,Autumn,Polyester,India
191230,End-cap,Yes,clothing,No,1533,Zara,BASIC PUFFER JACKET,21.99,jackets,WOMAN,Autumn,Cotton,Cambodia
187234,Front of Store,No,clothing,Yes,807,Zara,BASIC PUFFER JACKET,49.99,jackets,WOMAN,Spring,Cotton,India
148888,Front of Store,Yes,clothing,Yes,1604,Zara,BASIC PUFFER JACKET,24.95,jackets,WOMAN,Autumn,Wool Blend,Bangladesh
110805,Front of Store,Yes,clothing,Yes,1255,Zara,BASIC PUFFER JACKET,21.99,jackets,MAN,Autumn,Viscose,China
179801,Front of Store,Yes,clothing,Yes,1268,Zara,BASIC PUFFER JACKET,22.99,jackets,MAN,Autumn,Cotton,China
134927,Aisle,No,clothing,Yes,1047,Zara,BASIC PUFFER JACKET,24,jackets,WOMAN,Winter,Viscose,Bangladesh
123150,End-cap,No,clothing,Yes,744,Zara,BASIC PUFFER JACKET,49.99,jackets,MAN,Autumn,Polyester,Spain
159145,End-cap,Yes,clothing,Yes,1744,Zara,BASIC PUFFER JACKET,32.99,jackets,WOMAN,Winter,Wool,Turkey
172364,Aisle,Yes,clothing,Yes,1447,Zara,BASIC PUFFER JACKET,31.99,jackets,WOMAN,Autumn,Viscose,India
178281,End-cap,No,clothing,No,911,Zara,BASIC PUFFER JACKET,39.99,jackets,WOMAN,Spring,Polyester,Vietnam
194339,End-cap,Yes,clothing,No,1575,Zara,BASIC PUFFER JACKET,16.99,jackets,WOMAN,Autumn,Viscose,Cambodia
174412,Aisle,Yes,clothing,No,1440,Zara,BASIC PUFFER JACKET,16.99,jackets,WOMAN,Spring,Viscose,Spain
114877,Aisle,No,clothing,Yes,942,Zara,BASIC PUFFER JACKET,39.99,jackets,WOMAN,Spring,Polyester,Vietnam
140727,End-cap,No,clothing,No,972,Zara,BASIC PUFFER JACKET,21.99,jackets,WOMAN,Winter,Viscose,Bangladesh
133109,Front of Store,No,clothing,Yes,860,Zara,BASIC PUFFER JACKET,45.99,jackets,WOMAN,Spring,Cotton,Bangladesh
127296,Aisle,No,clothing,No,709,Zara,BASIC PUFFER JACKET,45.99,jackets,MAN,Spring,Cotton,China
133757,Aisle,No,clothing,Yes,663,Zara,BASIC PUFFER JACKET,99.99,jackets,WOMAN,Autumn,Wool,Spain
111760,End-cap,No,clothing,No,876,Zara,BASIC PUFFER JACKET,22.99,jackets,MAN,Spring,Wool Blend,Argentina
198375,End-cap,Yes,clothing,Yes,1284,Zara,BASIC PUFFER JACKET,19.99,jackets,WOMAN,Spring,Polyester,Turkey
168837,Aisle,No,clothing,No,871,Zara,BASIC PUFFER JACKET,22.99,jackets,MAN,Autumn,Polyester,Argentina
138505,Front of Store,Yes,clothing,Yes,1330,Zara,BASIC PUFFER JACKET,43.95,jackets,WOMAN,Autumn,Cotton,Morocco
116228,End-cap,No,clothing,No,880,Zara,BASIC PUFFER JACKET,74.99,jackets,WOMAN,Winter,Polyester,India
167592,Front of Store,No,clothing,No,815,Zara,BASIC PUFFER JACKET,49.99,jackets,WOMAN,Autumn,Viscose,Argentina
133100,End-cap,No,clothing,Yes,851,Zara,BASIC PUFFER JACKET,39.95,jackets,MAN,Autumn,Wool,India
119955,Front of Store,No,clothing,No,749,Zara,BASIC PUFFER JACKET,59.99,jackets,MAN,Autumn,Polyester,Morocco
189349,End-cap,Yes,clothing,No,1211,Zara,BASIC PUFFER JACKET,86.99,jackets,WOMAN,Spring,Cotton,Bangladesh
127478,Front of Store,No,clothing,Yes,899,Zara,BASIC PUFFER JACKET,22.95,jackets,WOMAN,Spring,Cotton,Cambodia
